,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
234119,BTC,1,Bitcoin,"$67,467,245,328 ",$4087.45,"16,505,950","$2,514,660,000",0.09%,-1.71%,24.95%,r_20170814-082011
235175,BTC,1,Bitcoin,"$77,657,220,600 ",$4695.40,"16,539,000","$3,005,450,000",-0.58%,-1.26%,8.64%,r_20170902-092005
236255,BTC,1,Bitcoin,"$77,793,005,790 ",$4703.61,"16,539,000","$3,011,130,000",-0.80%,-0.95%,8.83%,r_20170902-090505
237327,BTC,1,Bitcoin,"$71,199,687,431 ",$4308.51,"16,525,362","$1,623,230,000",-0.46%,-0.94%,4.48%,r_20170826-033005
238385,BTC,1,Bitcoin,"$70,156,266,368 ",$4245.79,"16,523,725","$2,081,820,000",0.28%,2.37%,-2.14%,r_20170824-200505
239441,BTC,1,Bitcoin,"$68,768,622,758 ",$4162.06,"16,522,737","$2,371,710,000",0.11%,1.28%,-3.90%,r_20170824-013005
240504,BTC,1,Bitcoin,"$70,059,446,403 ",$4238.60,"16,528,912","$1,606,680,000",-0.19%,-2.77%,4.02%,r_20170828-054505
241569,BTC,1,Bitcoin,"$62,291,160,841 ",$3770.70,"16,519,787","$3,144,410,000",-2.86%,-7.48%,-13.07%,r_20170822-043506
242627,BTC,1,Bitcoin,"$73,329,077,439 ",$4437.48,"16,524,937","$1,848,730,000",0.06%,4.76%,6.19%,r_20170825-194005
243675,BTC,1,Bitcoin,"$54,970,058,781 ",$3332.67,"16,494,300","$1,411,790,000",0.16%,2.11%,17.57%,r_20170807-195506
244712,BTC,1,Bitcoin,"$71,889,057,340 ",$4349.90,"16,526,600","$1,498,110,000",-0.01%,-0.05%,5.17%,r_20170827-013505
245773,BTC,1,Bitcoin,"$72,312,395,059 ",$4374.47,"16,530,550","$1,784,990,000",-0.10%,2.33%,13.11%,r_20170829-074506
246831,BTC,1,Bitcoin,"$52,003,927,317 ",$3153.71,"16,489,762","$1,657,370,000",-0.60%,10.19%,15.40%,r_20170805-113506
247873,BTC,1,Bitcoin,"$66,146,778,872 ",$3998.11,"16,544,512","$3,015,690,000",-3.96%,-11.85%,-8.75%,r_20170905-022005
248941,BTC,1,Bitcoin,"$71,482,272,031 ",$4328.75,"16,513,375","$2,754,560,000",0.52%,-0.41%,25.05%,r_20170818-075505
