,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
98,WGR,133,Wagerr,"$14,050,411 ",$0.076778,"183,000,000",*,"$27,433",7.97%,1.09%,r_20170804-070005
99,SPRTS,288,Sprouts,"$1,838,295 ",$0.000006,"312,568,838,261",*,"$1,435",1.43%,223.47%,r_20170804-070005
100,BLC,556,Blakecoin,"$147,088 ",$0.009726,"15,122,697",Low Vol,0.25%,-3.25%,-28.02%,r_20170804-070005
101,DCRE,995,DeltaCredits,? ,$0.064991,?,*,Low Vol,?,0.49%,r_20170804-070005
102,MG,842,Mind Gene,? ,$0.011700,?,"$6,090",0.25%,-0.21%,-5.54%,r_20170804-070005
103,XCO,442,X-Coin,"$58,305 ",$0.004708,"12,384,976",*,$707,3.81%,9.75%,r_20170804-070005
104,CBD,937,CBD Crystals,? ,$0.001226,?,*,Low Vol,0.25%,14.98%,r_20170804-070005
105,SHA,874,SHACoin,? ,$0.000947,?,$583,13.54%,28.77%,34.93%,r_20170804-070005
106,MARX,924,MarxCoin,? ,$0.000696,?,Low Vol,0.19%,2.06%,-18.77%,r_20170804-070005
107,MXT,498,MarteXcoin,"$442,501 ",$0.161545,"2,739,184",Low Vol,0.25%,2.56%,11.03%,r_20170804-070005
108,MI,573,Xiaomicoin,"$116,757 ",$0.000287,"406,141,855",*,Low Vol,-17.25%,-25.01%,r_20170804-070005
109,RADS,137,Radium,"$13,410,005 ",$4.05,"3,311,955",*,"$64,470",1.06%,6.04%,r_20170804-070005
110,PRES,872,President Trump,? ,$0.004808,?,*,$652,-1.00%,-8.25%,r_20170804-070005
111,EMC2,143,Einsteinium,"$12,604,268 ",$0.059374,"212,286,335","$2,200,780",4.32%,37.00%,13.40%,r_20170804-070005
112,CBX,354,Crypto Bullion,"$736,992 ",$0.737659,"999,095",$590,0.05%,-3.34%,-0.13%,r_20170804-070005
113,HLB,802,Lepaoquan,? ,$0.027441,?,*,"$1,580,080",-0.60%,8.00%,r_20170804-070005
114,GB,550,GoldBlocks,"$161,598 ",$0.010773,"15,000,237",Low Vol,0.12%,21.86%,-0.70%,r_20170804-070005
115,ATCC,805,ATC Coin,? ,$0.128812,?,"$406,846",-2.34%,1.05%,-3.13%,r_20170804-070005
116,LKC,931,LinkedCoin,? ,$0.000084,?,Low Vol,0.25%,-23.08%,-56.07%,r_20170804-070005
117,DON,968,Donationcoin,? ,$0.000334,?,**,Low Vol,0.18%,-3.26%,r_20170804-070005
118,FJC,356,FujiCoin,"$699,145 ",$0.000671,"1,041,768,451","$55,731",0.89%,16.90%,22.11%,r_20170804-070005
119,CRYPT,521,CryptCoin,"$282,003 ",$0.046633,"6,047,252",Low Vol,0.18%,2.87%,-45.53%,r_20170804-070005
120,NETKO,341,Netko,"$916,490 ",$0.258898,"3,539,965","$8,991",3.12%,14.94%,-1.31%,r_20170804-070005
121,GLC,480,GlobalCoin,"$925,904 ",$0.014207,"65,171,010",Low Vol,0.13%,4.17%,-23.59%,r_20170804-070005
122,GLD,236,GoldCoin,"$3,966,125 ",$0.098166,"40,402,436","$11,955",-0.48%,10.29%,5.00%,r_20170804-070005
123,FUCK,279,FuckToken,"$2,168,653 ",$0.050208,"43,193,633",*,"$35,196",14.85%,17.01%,r_20170804-070005
124,SUMO,396,Sumokoin,"$312,771 ",$0.300887,"1,039,495","$3,040",0.13%,2.54%,-1.92%,r_20170804-070005
