,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
594210,BTC,1,Bitcoin,"$53,794,960,448 ",$3261.86,"16,492,112","$1,172,990,000",-0.27%,-0.03%,19.43%,r_20170806-184505
595232,BTC,1,Bitcoin,"$52,907,012,623 ",$3208.17,"16,491,337","$1,498,260,000",0.49%,2.49%,19.40%,r_20170806-065506
596252,BTC,1,Bitcoin,"$56,625,742,128 ",$3432.62,"16,496,362","$1,740,910,000",0.59%,2.75%,26.22%,r_20170808-202005
597274,BTC,1,Bitcoin,"$53,800,033,857 ",$3262.17,"16,492,100","$1,201,180,000",-0.42%,0.15%,19.63%,r_20170806-180506
598300,BTC,1,Bitcoin,"$55,656,123,574 ",$3374.19,"16,494,662","$1,451,250,000",0.31%,5.22%,17.43%,r_20170808-013005
599322,BTC,1,Bitcoin,"$55,950,869,986 ",$3392.27,"16,493,637","$1,266,660,000",1.37%,5.94%,21.73%,r_20170807-130005
600342,BTC,1,Bitcoin,"$53,535,511,023 ",$3246.17,"16,491,900","$1,279,400,000",0.83%,1.81%,19.79%,r_20170806-152506
601362,BTC,1,Bitcoin,"$53,834,039,907 ",$3264.19,"16,492,312","$1,148,890,000",0.19%,0.44%,19.25%,r_20170806-200505
602384,BTC,1,Bitcoin,"$48,769,766,692 ",$2957.74,"16,488,862","$1,056,580,000",2.12%,7.08%,6.36%,r_20170805-025006
603400,BTC,1,Bitcoin,"$53,738,968,729 ",$3258.46,"16,492,137","$1,159,350,000",-0.19%,-0.09%,19.18%,r_20170806-192005
604422,BTC,1,Bitcoin,"$53,896,131,315 ",$3268.20,"16,491,075","$1,960,450,000",-0.39%,10.75%,20.82%,r_20170806-022506
605442,BTC,1,Bitcoin,"$52,608,945,876 ",$3190.34,"16,490,075","$1,658,360,000",0.62%,11.46%,16.99%,r_20170805-144005
606461,BTC,1,Bitcoin,"$53,136,829,059 ",$3221.81,"16,492,850","$1,042,780,000",0.56%,-0.28%,17.46%,r_20170807-032005
607484,BTC,1,Bitcoin,"$52,621,424,148 ",$3190.85,"16,491,350","$1,458,200,000",-0.42%,1.66%,18.82%,r_20170806-074005
608508,BTC,1,Bitcoin,"$56,961,327,709 ",$3453.12,"16,495,612","$1,722,840,000",-0.29%,5.20%,23.47%,r_20170808-103505
609527,BTC,1,Bitcoin,"$52,529,735,228 ",$3185.51,"16,490,212","$1,671,400,000",-0.35%,10.84%,17.02%,r_20170805-161506
610546,BTC,1,Bitcoin,"$52,674,286,739 ",$3194.07,"16,491,275","$1,520,100,000",-0.72%,1.99%,18.70%,r_20170806-055005
611564,BTC,1,Bitcoin,"$53,732,701,717 ",$3258.08,"16,492,137","$1,162,220,000",-0.17%,-0.12%,19.20%,r_20170806-191005
612588,BTC,1,Bitcoin,"$53,469,050,585 ",$3241.86,"16,493,325","$1,039,860,000",0.05%,1.72%,17.45%,r_20170807-082506
613612,BTC,1,Bitcoin,"$55,432,652,243 ",$3360.68,"16,494,475","$1,446,430,000",0.62%,3.41%,17.97%,r_20170807-221005
614635,BTC,1,Bitcoin,"$51,494,356,898 ",$3122.90,"16,489,275","$1,545,440,000",-0.93%,12.07%,13.31%,r_20170805-060005
615655,BTC,1,Bitcoin,"$55,507,827,170 ",$3365.36,"16,493,875","$1,331,910,000",-0.44%,4.12%,20.15%,r_20170807-150005
616680,BTC,1,Bitcoin,"$55,926,586,176 ",$3390.61,"16,494,550","$1,468,990,000",1.55%,4.78%,18.78%,r_20170807-230506
617701,BTC,1,Bitcoin,"$52,674,531,504 ",$3194.08,"16,491,300","$1,508,720,000",-0.37%,1.83%,18.76%,r_20170806-061005
618725,BTC,1,Bitcoin,"$57,484,168,933 ",$3484.85,"16,495,450","$1,713,160,000",0.63%,7.08%,23.78%,r_20170808-091505
619746,BTC,1,Bitcoin,"$55,971,366,187 ",$3392.97,"16,496,275","$1,706,100,000",0.34%,1.60%,24.57%,r_20170808-183005
620768,BTC,1,Bitcoin,"$52,774,557,731 ",$3200.08,"16,491,637","$1,317,440,000",-0.01%,0.91%,19.05%,r_20170806-112006
621791,BTC,1,Bitcoin,"$55,699,290,993 ",$3376.50,"16,496,162","$1,703,040,000",-0.76%,0.64%,23.30%,r_20170808-164005
622807,BTC,1,Bitcoin,"$47,120,429,923 ",$2857.99,"16,487,262","$931,613,000",1.38%,4.14%,3.74%,r_20170804-093005
623827,BTC,1,Bitcoin,"$52,610,658,503 ",$3190.41,"16,490,250","$1,676,550,000",0.07%,10.97%,17.22%,r_20170805-162505
624845,BTC,1,Bitcoin,"$52,848,506,515 ",$3204.36,"16,492,687","$1,075,390,000",-0.64%,-1.94%,17.00%,r_20170807-004505
625869,BTC,1,Bitcoin,"$53,690,555,939 ",$3255.29,"16,493,325","$1,047,980,000",0.62%,2.15%,17.82%,r_20170807-085506
626894,BTC,1,Bitcoin,"$55,579,140,835 ",$3369.51,"16,494,725","$1,445,750,000",0.52%,5.06%,17.19%,r_20170808-015505
627916,BTC,1,Bitcoin,"$55,647,826,674 ",$3373.37,"16,496,212","$1,713,350,000",-0.23%,0.69%,23.39%,r_20170808-171505
628937,BTC,1,Bitcoin,"$52,714,329,993 ",$3196.44,"16,491,575","$1,342,080,000",0.11%,0.55%,18.96%,r_20170806-103005
629962,BTC,1,Bitcoin,"$56,563,527,485 ",$3429.15,"16,494,912","$1,532,110,000",1.00%,6.40%,19.75%,r_20170808-034506
630986,BTC,1,Bitcoin,"$55,999,158,790 ",$3394.57,"16,496,687","$1,719,840,000",-0.76%,0.67%,24.74%,r_20170809-011005
632016,BTC,1,Bitcoin,"$55,458,656,323 ",$3362.44,"16,493,575","$1,212,330,000",1.85%,5.13%,20.83%,r_20170807-122005
633036,BTC,1,Bitcoin,"$47,176,905,887 ",$2861.27,"16,488,100","$1,041,950,000",0.10%,4.57%,2.22%,r_20170804-183006
634050,BTC,1,Bitcoin,"$47,806,110,088 ",$2899.33,"16,488,675","$1,003,220,000",1.09%,4.01%,4.08%,r_20170805-000006
635073,BTC,1,Bitcoin,"$54,955,252,246 ",$3331.78,"16,494,262","$1,381,280,000",-0.13%,2.07%,17.64%,r_20170807-191006
636098,BTC,1,Bitcoin,"$56,060,956,197 ",$3398.28,"16,496,862","$1,736,840,000",-0.16%,-0.92%,25.32%,r_20170809-042005
637130,BTC,1,Bitcoin,"$54,450,038,405 ",$3300.49,"16,497,562","$1,686,370,000",0.07%,-3.93%,21.84%,r_20170809-124005
638160,BTC,1,Bitcoin,"$52,130,108,264 ",$3161.35,"16,489,825","$1,643,110,000",-0.32%,10.50%,15.72%,r_20170805-122006
639177,BTC,1,Bitcoin,"$47,481,259,670 ",$2879.74,"16,488,037","$1,045,070,000",-0.01%,5.37%,2.83%,r_20170804-174506
640196,BTC,1,Bitcoin,"$55,293,652,044 ",$3352.22,"16,494,637","$1,445,820,000",-0.57%,4.52%,16.75%,r_20170808-011005
641218,BTC,1,Bitcoin,"$53,422,473,325 ",$3239.09,"16,493,050","$1,025,950,000",0.17%,1.03%,17.96%,r_20170807-053505
642244,BTC,1,Bitcoin,"$56,463,363,223 ",$3422.73,"16,496,587","$1,728,400,000",-0.50%,1.57%,25.70%,r_20170809-001505
643270,BTC,1,Bitcoin,"$56,231,432,143 ",$3408.65,"16,496,687","$1,720,280,000",-0.42%,1.14%,25.23%,r_20170809-005505
644300,BTC,1,Bitcoin,"$52,921,453,693 ",$3209.07,"16,491,212","$1,582,300,000",-0.26%,2.73%,19.11%,r_20170806-050005
645321,BTC,1,Bitcoin,"$52,023,848,940 ",$3155.04,"16,489,125","$1,496,800,000",1.34%,13.68%,14.10%,r_20170805-050505
646341,BTC,1,Bitcoin,"$55,603,264,774 ",$3371.20,"16,493,612","$1,221,020,000",1.58%,5.38%,21.11%,r_20170807-123005
647366,BTC,1,Bitcoin,"$56,460,662,316 ",$3422.88,"16,495,075","$1,634,280,000",-0.78%,5.77%,20.12%,r_20170808-060505
648387,BTC,1,Bitcoin,"$53,702,016,103 ",$3256.56,"16,490,412","$1,836,240,000",-0.65%,13.74%,19.65%,r_20170805-185005
649408,BTC,1,Bitcoin,"$53,298,277,305 ",$3231.55,"16,493,100","$1,025,610,000",0.16%,0.85%,17.63%,r_20170807-055505
650432,BTC,1,Bitcoin,"$55,590,346,557 ",$3370.22,"16,494,575","$1,451,850,000",-0.24%,4.61%,17.69%,r_20170808-001005
651452,BTC,1,Bitcoin,"$52,816,808,385 ",$3202.62,"16,491,750","$1,279,740,000",0.39%,1.17%,18.83%,r_20170806-131005
652465,BTC,1,Bitcoin,"$46,177,568,756 ",$2800.86,"16,486,925","$872,050,000",1.32%,2.47%,2.72%,r_20170804-060005
653485,BTC,1,Bitcoin,"$53,813,259,594 ",$3262.93,"16,492,312","$1,148,180,000",0.15%,0.47%,19.18%,r_20170806-201505
